Town,Sales,,Property Type,Avg Assess Value,,H.Year,Sales Ratio
Milford,"$6,079,944,981.62",,,,,,
Monroe,"$2,511,962,515.00",,,,,,
Montville,"$1,181,944,893.00",,,,,,
Newtown,"$4,065,792,178.50",,,,,,
Naugatuck,"$1,858,789,791.00",,,,,,
North Stonington,"$450,697,743.00",,,,,,
Norwalk,"$15,428,502,562.67",,,,,,
New Canaan,"$10,268,724,522.00",,,,,,
New Fairfield,"$1,712,089,255.00",,,,,,
Norwich,"$2,412,419,466.00",,,,,,
Old Saybrook,"$2,028,078,296.00",,,,,,
New London,"$1,808,486,939.00",,,,,,
Plainfield,"$1,041,535,866.00",,,,,,
North Canaan,"$198,474,793.00",,,,,,
Portland,"$856,496,585.00",,,,,,
North Haven,"$2,656,375,002.00",,,,,,
Ridgefield,"$6,409,713,429.00",,,,,,
Simsbury,"$3,005,851,006.70",,,,,,
Somers,"$772,151,895.72",,,,,,
Old Lyme,"$1,323,871,645.00",,,,,,
Orange,"$2,050,233,907.00",,,,,,
Plainville,"$1,258,040,398.00",,,,,,
South Windsor,"$2,888,598,351.00",,,,,,
Plymouth,"$611,144,372.68",,,,,,
Preston,"$338,585,496.68",,,,,,
Putnam,"$632,082,172.00",,,,,,
Stamford,"$31,836,471,473.00",,,,,,
Rocky Hill,"$4,065,676,073.40",,,,,,
Salem,"$357,104,654.00",,,,,,
Sharon,"$718,582,124.00",,,,,,
Shelton,"$4,615,537,227.36",,,,,,
Sterling,"$317,051,439.00",,,,,,
Stratford,"$5,240,623,808.00",,,,,,
Southbury,"$2,611,940,435.00",,,,,,
Torrington,"$2,347,289,325.00",,,,,,
Union,"$57,654,109.00",,,,,,
Stonington,"$2,768,530,292.00",,,,,,
Waterbury,"$5,179,220,019.00",,,,,,
Suffield,"$1,601,950,681.43",,,,,,
Thomaston,"$447,026,286.00",,,,,,
Thompson,"$574,078,860.00",,,,,,
Tolland,"$1,302,149,580.00",,,,,,
Watertown,"$1,523,947,557.00",,,,,,
Trumbull,"$4,506,260,788.67",,,,,,
Vernon,"$1,859,437,406.00",,,,,,
Washington,"$1,490,280,862.50",,,,,,
Westport,"$13,944,773,415.85",,,,,,
Wethersfield,"$2,126,883,064.13",,,,,,
Waterford,"$1,916,109,165.00",,,,,,
Windsor,"$3,153,343,303.00",,,,,,
Westbrook,"$928,118,074.90",,,,,,
West Hartford,"$7,618,036,025.84",,,,,,
Windsor Locks,"$1,212,227,768.00",,,,,,
Hampton,"$122,255,378.00",,,,,,
Redding,"$1,727,178,337.72",,,,,,
Southington,"$3,534,043,488.00",,,,,,
Newington,"$2,673,896,170.00",,,,,,
Bloomfield,"$2,111,089,858.00",,,,,,
Hartland,"$99,072,464.00",,,,,,
Bridgewater,"$356,827,794.23",,,,,,
Ledyard,"$1,088,896,291.00",,,,,,
Ellington,"$1,255,747,866.00",,,,,,
Bethany,"$525,282,624.00",,,,,,
Canterbury,"$277,250,912.00",,,,,,
Haddam,"$683,928,540.15",,,,,,
Marlborough,"$516,680,655.50",,,,,,
Brooklyn,"$544,046,880.00",,,,,,
Lyme,"$490,735,859.00",,,,,,
Chester,"$389,569,560.00",,,,,,
Clinton,"$1,442,306,705.84",,,,,,
Chaplin,"$110,410,968.00",,,,,,
Deep River,"$384,067,810.00",,,,,,
Middlefield,"$305,415,816.00",,,,,,
Durham,"$597,718,314.00",,,,,,
Bozrah,"$131,317,089.00",,,,,,
Eastford,"$126,908,179.00",,,,,,
Willington,"$5,865,371,509.00",,,,,,
Morris,"$288,182,856.00",,,,,,
Wilton,"$5,116,978,765.23",,,,,,
Canaan,"$133,231,013.34",,,,,,
Winchester,"$773,240,252.00",,,,,,
Ashford,"$285,367,647.03",,,,,,
Windham,"$898,820,920.00",,,,,,
Wolcott,"$1,135,007,693.00",,,,,,
Woodbridge,"$1,207,691,312.00",,,,,,
Woodstock,"$662,395,346.02",,,,,,
Columbia,"$393,905,608.13",,,,,,
Hebron,"$715,708,804.00",,,,,,
Cornwall,"$225,614,359.27",,,,,,
Andover,"$195,661,332.95",,,,,,
North Branford,"$856,962,873.83",,,,,,
New Hartford,"$593,014,737.71",,,,,,
Sherman,"$706,112,927.00",,,,,,
Norfolk,"$225,010,475.00",,,,,,
Scotland,"$86,324,854.00",,,,,,
Sprague,"$148,394,225.00",,,,,,
Roxbury,"$717,632,848.00",,,,,,
Weston,"$3,293,275,362.00",,,,,,
Warren,"$364,986,176.67",,,,,,
Woodbury,"$1,181,748,500.00",,,,,,
Wallingford,"$3,722,789,484.98",,,,,,
Oxford,"$1,504,374,901.25",,,,,,
Stafford,"$642,556,926.00",,,,,,
New Milford,"$2,876,828,942.06",,,,,,
Voluntown,"$167,173,340.00",,,,,,
Seymour,"$1,092,173,745.34",,,,,,
Pomfret,"$304,307,303.00",,,,,,
Prospect,"$750,764,904.00",,,,,,
Salisbury,"$941,613,550.00",,,,,,
West Haven,"$2,757,332,175.92",,,,,,
